origin data 
0.00000 20.07334
0.01000 20.38466
0.02000 20.98204
0.03000 21.23924
0.04000 21.79657
0.05000 22.32800
0.06000 22.73141
0.07000 23.16469
0.08000 23.76818
0.09000 24.26239
0.10000 24.99155
0.11000 25.36997
0.12000 26.00616
0.13000 26.57186
0.14000 27.08901
0.15000 27.69591
0.16000 28.30888
0.17000 29.17740
0.18000 29.64365
0.19000 30.18319
0.20000 31.10968
0.21000 31.89554
0.22000 32.53200
0.23000 33.55045
0.24000 34.29484
0.25000 35.24990
0.26000 36.12875
0.27000 37.00546
0.28000 38.02356
0.29000 39.10683
0.30000 40.08254
0.31000 41.02885
0.32000 42.33938
0.33000 43.41296
0.34000 44.47141
0.35000 45.78562
0.36000 47.09542
0.37000 48.27898
0.38000 49.59179
0.39000 51.12908
0.40000 52.32590
0.41000 53.93917
0.42000 55.45385
0.43000 57.11270
0.44000 58.93547
0.45000 60.49030
0.46000 62.23693
0.47000 64.09769
0.48000 65.98851
0.49000 67.88066
0.50000 70.00660
0.51000 72.32738
0.52000 74.58074
0.53000 76.64405
0.54000 79.07303
0.55000 81.81171
0.56000 84.24999
0.57000 86.89615
0.58000 89.83547
0.59000 92.38312
0.60000 95.64028
0.61000 98.70007
0.62000 101.99315
0.63000 105.18936
0.64000 108.92132
0.65000 112.50476
0.66000 116.08980
0.67000 120.15771
0.68000 124.35706
0.69000 128.50010
0.70000 132.91178
0.71000 137.46064
0.72000 142.35234
0.73000 147.25306
0.74000 152.64102
0.75000 157.97674
0.76000 163.63831
0.77000 169.50130
0.78000 175.63548
0.79000 182.13116
0.80000 188.65432
0.81000 195.73829
0.82000 202.94667
0.83000 210.42181
0.84000 218.25427
0.85000 226.45043
0.86000 235.01610
0.87000 243.74932
0.88000 253.35485
0.89000 262.96317
0.90000 273.23724
0.91000 283.85092
0.92000 294.75613
0.93000 306.40689
0.94000 318.69332
0.95000 331.11417
0.96000 344.40741
0.97000 357.84576
0.98000 372.69524
0.99000 387.62244
